Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C4, C8",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,C1525
"C2, C3",0402,2,30p,C1570
"D1, D10, D12, D13, D14, D2, D3, D5, D6, D7, D8, D9",LED-SMD_4P-L4.0-W1.6-L,12,SK6812SIDE-A-RVS,C2890037
"F1, F2",F0805,2,MF-PSMF050X-2,C116170
"R1, R5",0402,2,1k,C11702
"R10, R11, R3, R4",0402,4,27,C138021
R2,0402,1,10k,C25744
"R6, R7, R8, R9",0402,4,5.1k,C25905
"SW1-1, SW1-5, SW1-9",Hotswap_Choc_V2_1.50u_90deg,3,SW_Push,C5333465
"SW1-2, SW1-3, SW1-4, SW1-6, SW1-7, SW1-8, SW2-2, SW2-3, SW2-4, SW2-6, SW2-7, SW2-8, SW3-6",Hotswap_Choc_V2_1.00u,13,SW_Push,C5333465
"SW18, SW19, SW20",KEY-SMD_K2-1177SW-A4DW-06,3,SW_Push,C92582
SW21,SW-SMD_6P-L7.2-W3.5-P2.50-LS6.0-TL,1,SW-TH_MSK12C02,C2837066
"SW3-5, SW3-7",Hotswap_Choc_V2_1.50u,2,SW_Push,C5333465
"SW4-1, SW4-2, SW4-3, SW4-4, SW4-5",SW-SMD_YUANDI_TS-1045AD-A11B3-D2,5,SW_Push,C2894748
U1,SOT-23-5,1,TLV73333PDBV,C134139
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2040-QFN-56,1,RP2040,C2040
"USB1, USB2",HRO-TYPE-C-31-M-12-Assembly,2,HRO-TYPE-C-31-M-12,C165948
USB3,USB-A-SMD_USB-302S,1,USB_A,C112455
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
